,# Species,Genes,Alg.-Conn.,Aerococcus_christensenii.faa,Aerococcus_urina.faa,Aerococcus_urinaeequi.faa,Aerococcus_urinaehominis.faa,Aerococcus_viridans.faa,Anoxybacillus_amylolyticus.faa,Anoxybacillus_fermentans.faa,Anoxybacillus_gonensis.faa,Anoxybacillus_sediminis.faa,Anoxybacillus_сaldiproteolyticus.faa,Enterococcus_durans.faa,Enterococcus_faecium.faa,Enterococcus_gilvus.faa,Enterococcus_lactis.faa,Enterococcus_raffinosus.faa,Paenibacillus_cellulositrophicus.faa,Paenibacillus_lycopersici.faa,Paenibacillus_mucilaginosus.faa,Paenibacillus_rhizovicinus.faa,Paenibacillus_stellifer.faa,Staphylococcus_auricularis.faa,Staphylococcus_lutrae.faa,Staphylococcus_muscae.faa,Staphylococcus_pettenkoferi.faa,Staphylococcus_pseudintermedius.faa,Streptococcus_australis.faa,Streptococcus_cristatus.faa,Streptococcus_ferus.faa,Streptococcus_koreensis.faa,Streptococcus_sobrinus.faa,Thermoanaerobacter_brockii.faa,Thermoanaerobacter_italicus.faa,Thermoanaerobacter_kivui.faa,Thermoanaerobacter_mathranii.faa,Thermoanaerobacter_pseudethanolicus.faa,virgibacillius_dokdonensis.faa,virgibacillius_pantothenticus.faa,virgibacillius_phasianinus.faa,Thermoanaerobacter,Aerococcus,Anoxybacillus,Paenibacillus,Enterococcus,virgibacillius,Streptococcus,Staphylococcus,genes,taxons
1246,38,41,0.214,WP_060777455.1,WP_060778768.1,WP_059349297.1,WP_067978685.1,WP_003140996.1,WP_009361478.1,WP_212133368.1,WP_236777848.1,WP_194519414.1,WP_066326982.1,WP_005876893.1,WP_002293091.1,WP_010782110.1,WP_002293091.1,WP_010747271.1,WP_145030018.1,WP_162359870.1,WP_187296803.1,WP_162645324.1,WP_038699049.1,"QQA48336.1,QPT06398.1",WP_085237554.1,"QQA48336.1,SNV98951.1,QPT06398.1",ASE37497.1,QQA48336.1,WP_126404833.1,WP_005591126.1,WP_018030848.1,WP_120701620.1,WP_019769784.1,WP_003868435.1,WP_012995931.1,WP_049685830.1,WP_013150809.1,WP_003868435.1,lcl|CP017962.1_prot_APC46791.1_106,lcl|CP017962.1_prot_APC46791.1_106,lcl|CP022315.1_prot_ASK61676.1_1063,0,1,0,2,1,0,1,6,0,5
1437,38,41,0.439,WP_060776857.1,WP_041705889.1,WP_026465791.1,WP_074572517.1,WP_039935900.1,WP_009361496.1,WP_065067637.1,WP_164731149.1,WP_181557420.1,WP_066322045.1,WP_005880747.1,WP_002288679.1,WP_010782050.1,WP_002288679.1,WP_010747204.1,WP_152400030.1,WP_162359809.1,WP_013921145.1,WP_162642528.1,WP_038698993.1,"QPT06633.1,QQA49060.1",WP_085236874.1,"QPT06633.1,QQA49060.1,SNW03652.1",ASE36670.1,QQA49060.1,WP_003010871.1,WP_005592009.1,WP_026161999.1,WP_003010871.1,WP_002959369.1,WP_012268641.1,WP_028991963.1,WP_049685805.1,WP_041591670.1,WP_012268641.1,lcl|CP017962.1_prot_APC46827.1_142,lcl|CP017962.1_prot_APC46827.1_142,lcl|CP022315.1_prot_ASK61641.1_1027,0,1,0,3,5,1,0,4,0,5
1533,38,42,0.513,WP_060776743.1,WP_013668604.1,WP_026465223.1,WP_067979067.1,WP_003143275.1,WP_009362638.1,WP_171566207.1,WP_127015325.1,WP_194519492.1,WP_066321984.1,WP_005880136.1,WP_002290607.1,WP_010780075.1,WP_002290607.1,WP_028021295.1,WP_076174923.1,WP_162359432.1,"WP_013914384.1,WP_016363024.1",WP_162642945.1,WP_038694118.1,"QQA49246.1,QPT06777.1",WP_085236651.1,"QQA49246.1,QPT06777.1,SNW03290.1",ASE36499.1,QQA49246.1,WP_126403683.1,WP_005591590.1,WP_018031009.1,WP_120701336.1,WP_019772051.1,WP_003866816.1,WP_012994686.1,WP_049684661.1,WP_012994686.1,WP_003866816.1,lcl|CP017962.1_prot_APC47127.1_460,lcl|CP017962.1_prot_APC47127.1_460,lcl|CP022315.1_prot_ASK61222.1_567,0,2,0,5,4,1,0,1,0,5
1605,38,41,0.659,WP_060777281.1,WP_060778215.1,WP_059348942.1,WP_067977565.1,WP_003141012.1,WP_009732928.1,WP_171564679.1,WP_127015728.1,WP_181554888.1,WP_066323919.1,WP_095443958.1,WP_002294141.1,WP_114524619.1,WP_002329342.1,WP_218255941.1,WP_152402272.1,WP_162357179.1,WP_016362856.1,WP_162638641.1,WP_245625197.1,"QQA47633.1,QPT05453.1",WP_085238164.1,"QQA47633.1,QPT05453.1,SNW01934.1",ASE35940.1,QQA47633.1,WP_126403825.1,WP_005590925.1,WP_018030948.1,WP_023022289.1,WP_019780517.1,WP_012269356.1,WP_012269356.1,WP_173402333.1,WP_012269356.1,WP_012269356.1,lcl|CP017962.1_prot_APC48592.1_2024,lcl|CP017962.1_prot_APC48592.1_2024,lcl|CP022315.1_prot_ASK63485.1_3044,0,1,0,4,0,1,1,2,0,5
1626,38,41,0.632,WP_060776269.1,WP_060778094.1,WP_016897452.1,WP_067977500.1,WP_003143086.1,WP_009362285.1,WP_171566321.1,WP_127015615.1,WP_194519211.1,WP_066322821.1,WP_005878433.1,WP_002292812.1,WP_086304371.1,WP_002292812.1,WP_010744523.1,WP_076173153.1,WP_162354983.1,WP_013914029.1,WP_162640748.1,WP_038693003.1,"QQA48078.1,QPT05793.1",WP_085237778.1,"QQA48078.1,QPT05793.1,SNW00437.1",ASE37817.1,QQA48078.1,WP_006597394.1,WP_005589720.1,WP_018030081.1,WP_000022824.1,WP_002961436.1,WP_012269155.1,WP_012995533.1,WP_049685479.1,WP_013150542.1,WP_012269155.1,lcl|CP017962.1_prot_APC49084.1_2541,lcl|CP017962.1_prot_APC49084.1_2541,lcl|CP022315.1_prot_ASK62760.1_2267,0,1,0,4,2,0,1,1,0,5
1642,38,41,0.636,WP_060776537.1,WP_060778811.1,WP_059348403.1,WP_067979142.1,WP_003143372.1,WP_035066203.1,WP_171567292.1,WP_127015540.1,WP_194519228.1,WP_066322791.1,WP_005880037.1,WP_002322807.1,WP_114524525.1,WP_002314835.1,WP_218255719.1,WP_152400007.1,WP_162359908.1,WP_014649031.1,WP_162642485.1,WP_038699158.1,"QQA48096.1,QPT05810.1",WP_085237760.1,"QQA48096.1,QPT05810.1,SNW00316.1",ASE37736.1,QQA48096.1,WP_126404766.1,WP_005591689.1,WP_018030693.1,WP_117744638.1,WP_109833450.1,WP_009052765.1,WP_012995734.1,WP_049685607.1,WP_013150677.1,WP_009052765.1,lcl|CP017962.1_prot_APC49122.1_2581,lcl|CP017962.1_prot_APC49122.1_2581,lcl|CP022315.1_prot_ASK62733.1_2239,0,2,0,1,3,0,3,3,0,5
1663,37,40,0.624,WP_060776373.1,WP_060777853.1,WP_059348595.1,WP_143236712.1,WP_039935123.1,WP_009362615.1,WP_230077185.1,*,WP_194520598.1,WP_066323470.1,WP_081133452.1,WP_002288735.1,WP_114524472.1,WP_002292204.1,WP_218255595.1,WP_145947479.1,WP_162356452.1,WP_013917787.1,WP_162639130.1,WP_038697693.1,"QQA47791.1,QPT05579.1",WP_085238009.1,"QQA47791.1,SNW01477.1,QPT05579.1",ASE35812.1,QQA47791.1,WP_126403895.1,WP_005590809.1,WP_018029370.1,WP_023022455.1,WP_019770960.1,WP_012269447.1,WP_012994901.1,WP_049684890.1,WP_013150109.1,WP_012269447.1,lcl|CP017962.1_prot_APC47072.1_402,lcl|CP017962.1_prot_APC47072.1_402,lcl|CP022315.1_prot_ASK61287.1_639,0,1,0,3,1,1,0,1,0,5
1665,38,41,0.657,WP_060776930.1,WP_060777920.1,WP_026466273.1,WP_067977841.1,WP_039935073.1,WP_009361708.1,WP_171565447.1,WP_127016440.1,WP_181554542.1,WP_148660407.1,WP_081133788.1,WP_002294183.1,WP_086305784.1,WP_002294183.1,WP_010747142.1,WP_145157692.1,WP_162360577.1,WP_013920078.1,WP_162644189.1,WP_038697943.1,"QQA49580.1,QPT07039.1",WP_085236088.1,"QQA49580.1,SNW02265.1,QPT07039.1",ASE36250.1,QQA49580.1,WP_126403630.1,WP_005591306.1,WP_018030559.1,WP_023024993.1,WP_109833686.1,WP_003868516.1,WP_012995082.1,WP_049685082.1,WP_012995082.1,WP_003868516.1,lcl|CP017962.1_prot_APC48153.1_1558,lcl|CP017962.1_prot_APC48153.1_1558,lcl|CP022315.1_prot_ASK63083.1_2617,0,2,0,4,3,1,0,1,0,5
1681,38,41,0.637,WP_060776847.1,WP_013668835.1,WP_004262563.1,WP_067978321.1,WP_004262563.1,WP_003397666.1,WP_171567165.1,WP_127018092.1,WP_181557429.1,WP_066322063.1,WP_005880799.1,WP_002288659.1,WP_010782057.1,WP_002288659.1,WP_010747212.1,WP_105441900.1,WP_162359819.1,WP_013921155.1,WP_162642524.1,WP_038699000.1,"QQA49050.1,QPT06623.1",WP_085236880.1,"QQA49050.1,SNW03671.1,QPT06623.1",ASE36680.1,QQA49050.1,WP_006595187.1,WP_111705337.1,WP_018031031.1,WP_006595187.1,WP_003001322.1,WP_003868566.1,WP_012995906.1,WP_049685814.1,WP_013150804.1,WP_003868566.1,lcl|CP017962.1_prot_APC46817.1_132,lcl|CP017962.1_prot_APC46817.1_132,lcl|CP022315.1_prot_ASK61651.1_1037,0,5,0,3,0,1,3,1,0,5
1688,38,40,0.67,WP_060776364.1,WP_060777865.1,WP_059348613.1,WP_067977954.1,WP_003142463.1,WP_035065811.1,WP_212132452.1,WP_127015736.1,WP_194519987.1,WP_066323930.1,WP_081133767.1,WP_002297086.1,WP_010782077.1,WP_002329729.1,WP_218256436.1,WP_152402278.1,WP_162357184.1,WP_013919441.1,WP_162638633.1,WP_038696651.1,"QQA47627.1,QPT05448.1",WP_085238173.1,"QQA47627.1,QPT05448.1",ASE35945.1,QQA47627.1,WP_185946483.1,WP_005591131.1,WP_018030854.1,WP_174705367.1,WP_109833682.1,WP_004396216.1,WP_012995239.1,WP_049685228.1,WP_013150324.1,WP_004396216.1,lcl|CP017962.1_prot_APC48586.1_2018,lcl|CP017962.1_prot_APC48586.1_2018,lcl|CP022315.1_prot_ASK64436.1_3038,0,3,0,1,1,0,1,1,0,5
